V10_deltac10,,V100_deltac10,,V10_deltac0,,V100_deltac0,,V1_deltac10,,V1_deltac0,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
0.0352262153078885,1.9931669818528848,0.03258539643369285,2.0037991321095183,0.032583771868673006,2.0045097168492085,0.03258052273863321,2.005930886328589,-0.0023789792934082454,0.8582478165540164,-0.013151591782528116,0.856072334846629
0.08531303143351288,1.9851936085047757,0.11770935434472662,2.0000103215701825,0.09843871895224843,1.9677520650249263,0.11769635782456767,2.0056949994877042,0.02436660595782303,0.7637071278463055,0.0005861361667290899,0.7700540538921581
0.13537264122206716,1.9891202869911555,0.20282112801811125,2.0015508965785234,0.14513830706954733,1.848314247834872,0.20281219291050212,2.005459112646819,0.07046761277885294,0.6643392217238058,0.027981920689060802,0.6328657519255221
0.18546212234508197,1.979981243784401,0.2879369631040457,2.0013150097376387,0.18417653680676171,1.6954609152076587,0.2879280279964366,2.0052232258059344,0.10160869657407168,0.5812038532394666,0.05537621602679099,0.49632881930360195
0.23564744296318774,1.9289220054249987,0.37305279818998016,2.001079122896754,0.19608703524992255,1.5625494024982012,0.3730357402572716,2.0085402626635007,0.13663521191318262,0.490827562899649,0.08661781978261396,0.3692260200509332
0.28591923902765803,1.8400384068257267,0.45816538414587493,2.002264405535249,0.21186941365710188,1.4283244289701804,0.45813830806221045,2.0141074845300855,0.17165547267696712,0.40318702380763805,0.13721599390778538,0.23679351846040841
0.3363697132614757,1.6730009769537668,0.5432844683618488,2.000607349214984,0.23154303142811938,1.284318193142289,0.5432674104291403,2.008068488981731,0.21055297446933563,0.31188809425608666,0.21488173626910811,0.11073451847865456
0.3870364185664278,1.4113840765677428,0.6284003034477833,2.0003714623740994,0.24731573013538866,1.1543271203549221,0.6283986788827635,2.0010820471137896,0.251334294782659,0.242730361360314,0.331095157421854,0.046389169558635146
0.4378709506581947,1.076359739628865,0.7135161385337178,2.000135575533214,0.26309289639646216,1.0223819395334075,0.7135161385337178,2.000135575533214,0.29992277173991344,0.14321598329521912,0.41627922423862296,0.016308723650762413
0.4887667696214387,0.714528525106038,0.7986319736196522,1.9998996886923297,0.2827516223214642,0.8848893971526759,0.798654021287779,1.9902560386536772,0.35815238936306615,0.0572837665736845,0.4704454711310556,0.015448029103236838
0.5396703605462162,0.3492978546083587,0.8837478087055867,1.9996638018514448,0.29853995746704987,0.748058946245791,0.8491019289506306,1.923550087681853,0.4318436943244707,-0.02260315012681513,0.601973639650012,0.02141952397501612
0.5905069806832602,0.01336020666514548,0.9688636437915211,1.99942791501056,0.32007877895150283,0.6343360238826279,0.8841409534403947,1.8277022948464205,0.5171127258917786,-0.08984717792048347,0.6937287045110109,0.018179108566208413
0.641073804311613,-0.20456844837605326,1.053984352572515,1.9970602739506047,0.3375804209811665,0.594228559601504,0.9077028322060475,1.6752175354080898,0.6023179120538057,-0.12916522544432807,0.7606142076306469,0.014155342409865046
0.6916369206213472,-0.42087552225395175,1.1353148699339064,1.960275524381791,0.3533169325026181,0.480065761890736,0.9234852106132266,1.5409925618800693,0.6874824840903361,-0.15071865447591914,0.865088054887385,0.007959109274650267
0.742036860844092,-0.5658093756823246,1.1896814256932888,1.8717997314304655,0.38843458593934355,0.349825667654299,0.9392646106512029,1.4080703270414805,0.77260562971886,-0.15415217264540937,0.9566627543510587,0.003027336015586357
0.7923219684967103,-0.6605154629377212,1.2169737118858133,1.7798815989215915,0.43902605873380807,0.22032432811499625,0.9550410323199757,1.276450830892324,0.8577117174146752,-0.15012455104815325,1.023716269404848,0.006098332500893644
0.8425475586540553,-0.729188597760309,1.2404373044677643,1.6703872162345168,0.5089149387208084,0.11137125977576989,0.970771289266101,1.1650237844293634,0.9427999348952719,-0.1382804973143048,1.135922538479588,0.002234467057640188
0.8927043564400704,-0.7677719493633282,1.2561697951907913,1.5579831157544821,0.5921840785304976,0.0727564690429725,0.9786475866236749,1.104424991112513,1.027879217268259,-0.12252822751216064,1.2274873551727241,0.0016254176316916613
0.942819463526598,-0.7881197890104485,1.2719201561290374,1.4377625831378555,0.7490120719353196,0.012188989216880053,0.9943823111236049,0.9910438366154042,1.1129528136636768,-0.10428891112110072,1.2945483161495215,0.0014395673934184394
0.9928845572391637,-0.7865917788868355,1.2876749846210882,1.315587942487081,0.8651002391250341,0.002629723726973676,1.0101438409463621,0.8659380339134077,1.1980255977765855,-0.0856943023601957,1.3912500074354797,0.010290684991164145
1.0429127562155167,-0.7689260111436296,1.303481189981892,1.1709410594436043,0.9566642435356604,0.0023759666708706995,1.033667000912375,0.7303888774376928,1.2831008187370228,-0.068165570708826,1.4771515363171899,0.004841698966725705
1.0929207315922138,-0.7424144409108195,1.3114714099614844,1.06051251125598,1.027593113317538,0.0026136405332768398,1.0649535780431645,0.5836147239746006,1.3681792888275002,-0.05205800853683629,1.5615168765161127,-0.005577091383892618
