N,Sigma_numerical,Error_percent
1.010000000000000000e+02,3.697979999999999823e+00,1.393641496562491788e+01
2.010000000000000000e+02,4.127290000000000347e+00,3.945025696048661157e+00
4.010000000000000000e+02,4.253759999999999764e+00,1.001672406064029630e+00
8.010000000000000000e+02,4.286129999999999995e+00,2.483210500364844975e-01
1.601000000000000000e+03,4.294150000000000134e+00,6.167051326351653817e-02
3.201000000000000000e+03,4.296140000000000292e+00,1.535697608418618368e-02
