# 1D PNP Solver Results
# Debye length: 0.118939 nm
# Left electrode potential: 100 mV
# Right electrode potential: 0 mV
# Bulk potential: 50 mV
# Bulk concentration: 1000 mol/m^3
# Thermal voltage: 25.6926 mV
# Grid: non-uniform with stretching factor 3
#
# Surface charge density [uC/cm^2]:
#   Left electrode:  4.29664
#   Right electrode: -4.29664
# Capacitance [uF/cm^2]:
#   Left EDL:  85.9327
#   Right EDL: 85.9327
#   Total (series): 42.9664
#
# Columns:
# 1: x [nm]
# 2: x/lambda_D [-]
# 3: phi [mV]
# 4: phi_normalized = e*phi/(kB*T) [-]
# 5: c+ [mol/m^3]
# 6: c- [mol/m^3]
# 7: c+/c0 [-]
# 8: c-/c0 [-]
# 9: rho [C/m^3]
# 10: phi_GC [mV] (Gouy-Chapman analytical)
# 11: dx [nm] (grid spacing)
0.00000000e+00	0.00000000e+00	1.00000000e+02	3.89217445e+00	6.92499095e+01	3.39444750e+03	6.92499095e-02	3.39444750e+00	-3.20832794e+08	1.00000000e+02	1.62382557e-03
1.62382557e-03	1.36526257e-02	9.93472889e+01	3.86676979e+00	7.22763297e+01	3.36728420e+03	7.22763297e-02	3.36728420e+00	-3.17919928e+08	9.76511596e+01	1.62466930e-03
3.24933859e-03	2.73194389e-02	9.87018015e+01	3.84164630e+00	7.53874795e+01	3.34011113e+03	7.53874795e-02	3.34011113e+00	-3.14997946e+08	9.54072138e+01	1.62635757e-03
4.87654071e-03	4.10004535e-02	9.80634892e+01	3.81680207e+00	7.85834906e+01	3.31294013e+03	7.85834906e-02	3.31294013e+00	-3.12067974e+08	9.32594816e+01	1.62804748e-03
6.50543356e-03	5.46956833e-02	9.74323027e+01	3.79223519e+00	8.18644042e+01	3.28578281e+03	8.18644042e-02	3.28578281e+00	-3.09131132e+08	9.12003322e+01	1.62973904e-03
8.13601879e-03	6.84051421e-02	9.68081920e+01	3.76794371e+00	8.52301707e+01	3.25865061e+03	8.52301707e-02	3.25865061e+00	-3.06188525e+08	8.92230221e+01	1.63143225e-03
9.76829806e-03	8.21288439e-02	9.61911069e+01	3.74392569e+00	8.86806503e+01	3.23155474e+03	8.86806503e-02	3.23155474e+00	-3.03241250e+08	8.73215622e+01	1.63312711e-03
1.14022730e-02	9.58668023e-02	9.55809968e+01	3.72017914e+00	9.22156125e+01	3.20450615e+03	9.22156125e-02	3.20450615e+00	-3.00290386e+08	8.54906095e+01	1.63482361e-03
1.30379453e-02	1.09619031e-01	9.49778103e+01	3.69670207e+00	9.58347371e+01	3.17751557e+03	9.58347371e-02	3.17751557e+00	-2.97336999e+08	8.37253774e+01	1.63652177e-03
1.46753165e-02	1.23385545e-01	9.43814961e+01	3.67349248e+00	9.95376150e+01	3.15059347e+03	9.95376150e-02	3.15059347e+00	-2.94382138e+08	8.20215609e+01	1.63822158e-03
1.63143884e-02	1.37166357e-01	9.37920022e+01	3.65054834e+00	1.03323749e+02	3.12375003e+03	1.03323749e-01	3.12375003e+00	-2.91426833e+08	8.03752737e+01	1.63992304e-03
1.79551626e-02	1.50961482e-01	9.32092763e+01	3.62786764e+00	1.07192555e+02	3.09699517e+03	1.07192555e-01	3.09699517e+00	-2.88472099e+08	7.87829961e+01	1.64162616e-03
1.95976408e-02	1.64770932e-01	9.26332658e+01	3.60544830e+00	1.11143364e+02	3.07033851e+03	1.11143364e-01	3.07033851e+00	-2.85518926e+08	7.72415299e+01	1.64333093e-03
2.12418245e-02	1.78594723e-01	9.20639180e+01	3.58328829e+00	1.15175423e+02	3.04378936e+03	1.15175423e-01	3.04378936e+00	-2.82568289e+08	7.57479604e+01	1.64503737e-03
2.28877155e-02	1.92432868e-01	9.15011795e+01	3.56138553e+00	1.19287896e+02	3.01735675e+03	1.19287896e-01	3.01735675e+00	-2.79621136e+08	7.42996236e+01	1.64674546e-03
2.45353154e-02	2.06285381e-01	9.09449971e+01	3.53973794e+00	1.23479869e+02	2.99104939e+03	1.23479869e-01	2.99104939e+00	-2.76678398e+08	7.28940787e+01	1.64845521e-03
2.61846259e-02	2.20152276e-01	9.03953171e+01	3.51834344e+00	1.27750348e+02	2.96487566e+03	1.27750348e-01	2.96487566e+00	-2.73740978e+08	7.15290831e+01	1.65016663e-03
2.78356487e-02	2.34033568e-01	8.98520858e+01	3.49719992e+00	1.32098263e+02	2.93884365e+03	1.32098263e-01	2.93884365e+00	-2.70809761e+08	7.02025721e+01	1.65187971e-03
2.94883853e-02	2.47929269e-01	8.93152490e+01	3.47630530e+00	1.36522475e+02	2.91296110e+03	1.36522475e-01	2.91296110e+00	-2.67885603e+08	6.89126401e+01	1.65359445e-03
3.11428376e-02	2.61839394e-01	8.87847526e+01	3.45565746e+00	1.41021769e+02	2.88723545e+03	1.41021769e-01	2.88723545e+00	-2.64969339e+08	6.76575245e+01	1.65531086e-03
3.27990071e-02	2.75763957e-01	8.82605424e+01	3.43525428e+00	1.45594865e+02	2.86167380e+03	1.45594865e-01	2.86167380e+00	-2.62061778e+08	6.64355923e+01	1.65702894e-03
3.44568955e-02	2.89702973e-01	8.77425638e+01	3.41509365e+00	1.50240418e+02	2.83628294e+03	1.50240418e-01	2.83628294e+00	-2.59163705e+08	6.52453269e+01	1.65874869e-03
3.61165044e-02	3.03656454e-01	8.72307625e+01	3.39517345e+00	1.54957019e+02	2.81106932e+03	1.54957019e-01	2.81106932e+00	-2.56275877e+08	6.40853177e+01	1.66047011e-03
