N,Sigma_error_percent,L2_error_vs_finest_mV
5.100000000000000000e+01,3.684579013809415216e+01,2.703020212698307168e-01
1.010000000000000000e+02,1.393641496562491788e+01,7.482445369447356109e-02
2.010000000000000000e+02,3.945025696048661157e+00,1.833262487970263241e-02
4.010000000000000000e+02,1.001672406064029630e+00,4.507668050727168391e-03
8.010000000000000000e+02,2.483210500364844975e-01,1.072321655406687250e-03
1.601000000000000000e+03,6.167051326351653817e-02,2.144500808457413242e-04
3.201000000000000000e+03,1.535697608418618368e-02,nan
